"arr_time","home","leisure","other","shopping","work"
1,0,0,0,1,0
2,2,1,0,0,0
3,1,1,2,0,0
4,4,3,7,2,2
5,10,1,10,3,8
6,15,7,17,9,25
7,28,6,45,9,36
8,46,17,46,37,16
9,51,41,43,41,16
10,65,22,52,45,21
11,66,36,44,23,18
12,57,22,66,42,10
13,74,26,35,42,8
14,74,23,37,40,5
15,88,20,33,34,4
16,72,20,20,24,5
17,63,21,29,33,3
18,62,12,24,24,3
19,62,16,15,7,0
20,31,10,8,9,0
21,23,4,9,4,1
22,10,0,1,4,1
23,6,1,1,0,0
