"dep_time","home","leisure","other","shopping","work"
1,1,0,0,0,0
2,1,1,0,1,0
3,4,0,1,0,0
4,11,4,2,1,0
5,18,1,9,3,0
6,52,4,11,7,2
7,82,6,27,4,3
8,88,5,42,21,7
9,83,24,44,32,11
10,85,24,47,42,8
11,72,26,42,36,9
12,81,33,48,31,7
13,57,29,48,35,14
14,53,19,39,49,17
15,44,26,47,42,21
16,42,21,29,27,22
17,47,26,28,27,21
18,34,10,30,32,18
19,23,20,17,20,20
20,16,16,13,13,0
21,12,12,11,4,0
22,3,0,7,6,1
23,1,3,2,0,1
