"dist_cat","bicycle","car","pt","ride","walk"
"0-1km",1256,1274,158,52,22991
"1-2km",3573,3000,1426,198,6133
"2-5km",8767,7777,4521,1112,532
"5-10km",4820,7076,5014,2157,7
"10-20km",1076,5341,6321,3108,0
"20-50km",35,1524,2526,934,0
"50-100km",0,0,1,1,0
