"arr_time","home","leisure","other","shopping","work"
0,1,0,0,1,0
2,1,1,0,0,0
3,1,3,2,0,0
4,3,0,7,2,2
5,10,1,8,2,10
6,14,7,20,8,19
7,28,5,44,13,36
8,49,21,45,39,15
9,47,39,45,35,22
10,66,25,54,47,20
11,75,31,42,28,17
12,57,22,66,41,8
13,71,26,33,41,10
14,76,25,40,34,6
15,79,21,32,37,5
16,72,21,20,25,6
17,69,21,28,32,2
18,66,11,24,25,2
19,56,18,14,6,0
20,32,9,9,9,0
21,21,3,9,4,1
22,10,0,1,3,1
23,6,0,1,1,0
