"dep_time","home","leisure","other","shopping","work"
0,1,0,0,1,0
2,1,1,0,0,0
3,5,1,1,0,0
4,9,2,2,1,0
5,18,1,9,2,0
6,50,3,9,6,2
7,81,7,28,6,3
8,87,8,45,23,7
9,89,22,38,32,8
10,88,25,50,40,10
11,71,26,46,40,9
12,80,31,47,32,10
13,58,28,45,37,11
14,51,19,41,42,21
15,46,26,47,40,18
16,40,24,31,29,20
17,46,28,29,28,21
18,35,10,27,34,22
19,23,19,15,17,18
20,16,16,14,13,0
21,11,12,11,4,0
22,2,0,7,5,1
23,2,1,2,1,1
